L1_level|L1_title|L1_ident|L1_type|L1_single|L1_word|L1_plural|L1_aword|L1_p1desc|L1_p1word|L1_p2desc|L1_p2word|L1_p3desc|L1_p3word|L1_example|L1_counter||
KP|Daty Historyczne| | | |W 966 roku| |dziewięćset sześćdziesiątym szóstym|| | | | | | |Ver. 1.11.28 (1)|1|Ver. 1.11.28
KP|Daty Historyczne| | | |Mieszko I  Data chrztu Polski| | || | | | | | |Ver. 1.11.28 (1)|1|Ver. 1.11.28
KP|Daty Historyczne| | | |1025 roku| |tysiąc dwudziestego piątego roku|| | | | | | |Ver. 1.11.28 (2)|2|Ver. 1.11.28
KP|Daty Historyczne| | | |Koronowany Bolesław Chorobry | | || | | | | | |Ver. 1.11.28 (2)|2|Ver. 1.11.28
KP|Daty Historyczne| | | |w 999 roku| |dziewięćset dziewięćdziesiątym dziewiątym roku|| | | | | | |Ver. 1.11.28 (3)|3|Ver. 1.11.28
KP|Daty Historyczne| | | |Kanonizowano Świętego Wojciecha| | || | | | | | |Ver. 1.11.28 (3)|3|Ver. 1.11.28
KP|Daty Historyczne| | | |w 1138 roku| |tysiąc sto trzydziestym ósmym roku|| | | | | | |Ver. 1.11.28 (4)|4|Ver. 1.11.28
KP|Daty Historyczne| | | |Testament  Bolesława Krzywoustego| | || | | | | | |Ver. 1.11.28 (4)|4|Ver. 1.11.28
KP|Daty Historyczne| | | |w 1226 roku| |tysiąc dwieście dwudziestym szóstym roku|| | | | | | |Ver. 1.11.28 (5)|5|Ver. 1.11.28
KP|Daty Historyczne| | | |Konrad Mazowiecki sprowadził Krzyżaków do Polski| | || | | | | | |Ver. 1.11.28 (5)|5|Ver. 1.11.28
KP|Daty Historyczne| | | |w 1241 roku| |tysiąc dwieście czterdziestym pierwszym roku|| | | | | | |Ver. 1.11.28 (6)|6|Ver. 1.11.28
KP|Daty Historyczne| | | |odbył się napad Tatarów (bitwa pod Legnicą)| | || | | | | | |Ver. 1.11.28 (6)|6|Ver. 1.11.28
KP|Daty Historyczne| | | |w 1320 roku| |tysiąc trzysta dwudziestym roku|| | | | | | |Ver. 1.11.28 (7)|7|Ver. 1.11.28
KP|Daty Historyczne| | | |Koronacja Władysława Łokietka | | || | | | | | |Ver. 1.11.28 (7)|7|Ver. 1.11.28
KP|Daty Historyczne| | | |27 września 1331 r.| |dwudziestego siódmego września tysiąc trzysta trzydziestego pierwszego roku|| | | | | | |Ver. 1.11.28 (8)|8|Ver. 1.11.28
