L1_level|L1_title|L1_ident|L1_type|L1_single|L1_word|L1_plural|L1_aword|L1_p1desc|L1_p1word|L1_p2desc|L1_p2word|L1_p3desc|L1_p3word|L1_example
A2|Cechy |||wada|zły|||||||||
A2|Cechy |||недостаток|плохой|||||||||
A3|Cechy |||zaleta|dobry|||||||||
A3|Cechy |||достоинство|хороший|||||||||
A4|Cechy |||wada|bezczełny|||||||||
A4|Cechy |||недостаток|нахальный|||||||||
A5|Cechy |||wada|brutałny||brutałność|||||||to było brutalne przestępstwo
A5|Cechy |||недостаток|зверский||зверство|||||||
A6|Cechy |||wada|chamski|||||||||
A6|Cechy |||недостаток|невоспитанный|||||||||
A7|Cechy |||wada|wulgarny||wulgarność|||||||
A7|Cechy |||недостаток|вульгарный|||||||||
A8|Cechy |||wada|agresywny|||||||||
A8|Cechy |||недостаток|агрессивный|||||||||
A9|Cechy |||zaleta|wrażliwy|||||||||
A9|Cechy |||достоинство|чувствительный|||||||||
A10|Cechy |||zaleta|koleźenski|||||||||
A10|Cechy |||достоинство|компанейский|||||||||
A11|Cechy |||zaleta|miły|||||||||
A11|Cechy |||достоинство|приятный|||||||||
A12|Cechy |||zaleta|naiwny|||||||||
A12|Cechy |||достоинство|наивный|||||||||
A13|Cechy |||zaleta|nieśmialy|||||||||
A13|Cechy |||достоинство|застенчивый|||||||||
A14|Cechy |||zaleta|wstydliwy|||||||||
A14|Cechy |||достоинство|застенчивый|||||||||
A15|Cechy |||wada|obojętny||obojętność|||||||Czy to obojętność?
A15|Cechy |||недостаток|безразличный||безразличие|||||||
A16|Cechy |||zaleta|odwaźny|||||||||
A16|Cechy |||достоинство|отважный|||||||||
A17|Cechy |||wada|tchórzliwy|||||||||
A17|Cechy |||недостаток|трусливый|||||||||
A18|Cechy |||wada|samolubny |||||||||
A18|Cechy |||недостаток|эгоистичный|||||||||
A19|Cechy |||wada|egoista|||||||||
A19|Cechy |||недостаток|эгоист|||||||||
A20|Cechy |||zaleta|interesowny|||||||||
A20|Cechy |||достоинство|любознательный|||||||||
A21|Cechy |||zaleta|surowy|||||||||
A21|Cechy |||достоинство|суровый|||||||||
A22|Cechy |||zaleta|łagodny|||||||||
A22|Cechy |||достоинство|нежный|||||||||
A23|Cechy |||zaleta|skromny|||||||||
A23|Cechy |||достоинство|скромный|||||||||
A24|Cechy |||zaleta|szczery|||||||||
A24|Cechy |||достоинство|честный|||||||||
A25|Cechy |||wada|fałszywy|||||||||
A25|Cechy |||недостаток|ложный|||||||||
A26|Cechy |||wada|obłudny|||||||||
A26|Cechy |||недостаток|лицемерный|||||||||
A27|Cechy |||wada|dwulicowy|||||||||
A27|Cechy |||недостаток|двуликий|||||||||
A28|Cechy |||zaleta|źyczliwy|||||||||
A28|Cechy |||достоинство|дружелюбный|||||||||
A29|Cechy |||zaleta|sympatyczny|||||||||
A29|Cechy |||достоинство|симпатический|||||||||
A30|Cechy |||zaleta|uroczy|||||||||
A30|Cechy |||достоинство|очаровательный|||||||||
A31|Cechy |||zaleta|skryty|||||||||
A31|Cechy |||достоинство|скрытный|||||||||
A32|Cechy |||zaleta|cierpliwy|||||||||
A32|Cechy |||достоинство|терпели́вый|||||||||
A33|Cechy |||zaleta|spokojny|||||||||
A33|Cechy |||достоинство|спокойный|||||||||
A34|Cechy |||wada|nerwowy|||||||||
A34|Cechy |||недостаток|нервный|||||||||
A35|Cechy |||wada|wybuchowy|||||||||
A35|Cechy |||недостаток|вспыльчивый|||||||||
