L1_level|L1_title|L1_ident|L1_type|L1_single|L1_word|L1_plural|L1_aword|L1_p1desc|L1_p1word|L1_p2desc|L1_p2word|L1_p3desc|L1_p3word|L1_example|L1_counter
A2|Cechy ||przymiotnik|wada|zły||zlość||zła pogoda||zła wróżba|||zły to ptak, co swe gniazdo plugawi|1
A2|Cechy ||прилагательное|недостаток|плохой||||||||||2
A2|Cechy ||przymiotnik|zaleta|dobry||dobro||||||||3
A2|Cechy ||прилагательное|достоинство|хороший||добро||||||||4
A2|Cechy ||przymiotnik|wada|bezczełny||bezczełność|||||||Zamiast porządnieć, wspinasz się na szczyt bezczelności.|5
A2|Cechy ||прилагательное|недостаток|нахальный||||||||||6
A2|Cechy ||przymiotnik|wada|brutałny||brutałność|||||||to było brutalne przestępstwo|7
A2|Cechy ||прилагательное|недостаток|зверский||зверство||||||||8
A2|Cechy ||przymiotnik|wada|chamski||||||||||9
A2|Cechy ||прилагательное|недостаток|невоспитанный||||||||||10
A2|Cechy ||przymiotnik|wada|wulgarny||wulgarność||||||||11
A2|Cechy ||прилагательное|недостаток|вульгарный||||||||||12
A2|Cechy ||przymiotnik|wada|agresywny||||||||||13
A2|Cechy ||прилагательное|недостаток|агрессивный||||||||||14
A2|Cechy ||przymiotnik|zaleta|wrażliwy||||||||||15
A2|Cechy ||прилагательное|достоинство|чувствительный||||||||||16
A2|Cechy ||przymiotnik|zaleta|koleźenski||||||||||17
A2|Cechy ||прилагательное|достоинство|компанейский||||||||||18
A2|Cechy ||przymiotnik|zaleta|miły||||||||||19
A2|Cechy ||прилагательное|достоинство|приятный||||||||||20
A2|Cechy ||przymiotnik|zaleta|naiwny||||||||||21
A2|Cechy ||прилагательное|достоинство|наивный||||||||||22
A2|Cechy ||przymiotnik|zaleta|nieśmialy||||||||||23
A2|Cechy ||прилагательное|достоинство|застенчивый||||||||||24
A2|Cechy ||przymiotnik|zaleta|wstydliwy||||||||||25
A2|Cechy ||прилагательное|достоинство|застенчивый||||||||||26
A2|Cechy ||przymiotnik|wada|obojętny||obojętność|||||||Czy to obojętność?|27
A2|Cechy ||прилагательное|недостаток|безразличный||безразличие||||||||28
A2|Cechy ||przymiotnik|zaleta|odwaźny||||||||||29
